,sample,Variable,Value
0,AMS2,ERVmancer,0.7210944941631761
1,AMS3,ERVmancer,0.7492528157052923
2,AMS5,ERVmancer,0.7046770759028148
3,HC1,ERVmancer,0.7358191966666087
4,HC2,ERVmancer,0.6954781856140249
5,HC3,ERVmancer,0.7011677689162813
6,SMS2,ERVmancer,0.7447853558429852
7,SMS3,ERVmancer,0.7696514815818615
8,SMS5,ERVmancer,0.7786866377960759
9,SMS6,ERVmancer,0.7319887279600362
10,AMS2,telescope,0.4874817982748867
11,AMS3,telescope,0.4984068133121369
12,AMS5,telescope,0.45352005349797225
13,HC1,telescope,0.5047679910149218
14,HC2,telescope,0.49213637351897327
15,HC3,telescope,0.45921296408644496
16,SMS2,telescope,0.501505328380526
17,SMS3,telescope,0.5221541355897263
18,SMS5,telescope,0.5348816570954512
19,SMS6,telescope,0.49800174131637326
20,AMS2,ervmap,0.5230960016284146
21,AMS3,ervmap,0.5558576564507061
22,AMS5,ervmap,0.48120100316234066
23,HC1,ervmap,0.5415591386907562
24,HC2,ervmap,0.5255223111408709
25,HC3,ervmap,0.4861601751172512
26,SMS2,ervmap,0.5488688287297948
27,SMS3,ervmap,0.5625153779768116
28,SMS5,ervmap,0.5964842033267503
29,SMS6,ervmap,0.5445460441320371
