,sample,herv_or_clade,cpm1,cpm2,color_column
0,AMS2,ERV_4375754,-inf,-inf,AMS2
1,AMS2,Clade_328,-inf,-inf,AMS2
2,AMS2,Clade_2775,-inf,-inf,AMS2
3,AMS2,Clade_1929,-0.992737037382024,-inf,AMS2
4,AMS2,ERV_1980003,-inf,-inf,AMS2
5,AMS2,Clade_2498,-inf,-inf,AMS2
6,AMS2,ERV_4147048,-inf,-inf,AMS2
7,AMS2,Clade_299,1.9094691781611437,0.8367126679398226,AMS2
8,AMS2,Clade_521,-0.29958985682207867,-inf,AMS2
9,AMS2,ERV_4381752,-2.9386471864373385,-inf,AMS2
10,AMS2,ERV_2477304,-inf,-inf,AMS2
11,AMS2,ERV_1982086,-inf,-inf,AMS2
12,AMS2,Clade_2695,-inf,-inf,AMS2
13,AMS2,Clade_1642,-inf,-inf,AMS2
14,AMS2,Clade_1224,-2.9386471864373385,-inf,AMS2
15,AMS2,ERV_1510159,-inf,-inf,AMS2
16,AMS2,ERV_2991251,-inf,-inf,AMS2
17,AMS2,Clade_254,5.835433762257271,4.97875210396994,AMS2
18,AMS2,ERV_3049704,-inf,-inf,AMS2
19,AMS2,Clade_2613,-inf,-inf,AMS2
20,AMS2,Clade_1779,3.779157508586354,1.8001501782396794,AMS2
21,AMS2,ERV_3382351,-1.8400348977692276,-inf,AMS2
22,AMS2,Clade_310,-inf,-inf,AMS2
23,AMS2,ERV_2639932,-inf,-inf,AMS2
24,AMS2,Clade_351,-2.9386471864373385,-0.13268788924828107,AMS2
25,AMS2,Clade_1474,1.5939523067159187,3.3443475688053788,AMS2
26,AMS2,ERV_2786571,-inf,-inf,AMS2
27,AMS2,ERV_3130513,-inf,-inf,AMS2
28,AMS2,Clade_327,-inf,-inf,AMS2
29,AMS2,Clade_1622,1.720063766478784,1.3406178488612392,AMS2
30,AMS2,ERV_1966699,-0.8592056447575013,1.2070864562367167,AMS2
31,AMS2,ERV_3220357,-2.533182078329173,-inf,AMS2
32,AMS2,Clade_315,2.422644979272088,2.4932973587996248,AMS2
33,AMS2,Clade_2494,-inf,-inf,AMS2
34,AMS2,ERV_4156998,-inf,-inf,AMS2
35,AMS2,Clade_53,-1.233899094198912,-inf,AMS2
36,AMS2,ERV_2599230,-2.9386471864373385,-inf,AMS2
37,AMS2,ERV_2248744,-inf,-inf,AMS2
38,AMS2,Clade_1942,-inf,-inf,AMS2
39,AMS2,Clade_1638,2.97214945760319,1.8388646904203698,AMS2
40,AMS2,Clade_1441,2.2924614304172493,0.03436619541488518,AMS2
