,sample,herv_or_clade,cpm1,cpm2,color_column
0,AMS2,ERV_3001113,-inf,-inf,AMS2
1,AMS2,ERV_4375754,-inf,-inf,AMS2
2,AMS2,ERV_2929711,-2.9386471864373385,-inf,AMS2
3,AMS2,ERV_2694829,-2.9386471864373385,-inf,AMS2
4,AMS2,ERV_2763668,-inf,-inf,AMS2
5,AMS2,ERV_2509650,-0.6873553878308419,-inf,AMS2
6,AMS2,ERV_2981804,-inf,-inf,AMS2
7,AMS2,ERV_1995897,-inf,-inf,AMS2
8,AMS2,ERV_1980003,-inf,-inf,AMS2
9,AMS2,ERV_2208625,0.3755388182351884,-inf,AMS2
10,AMS2,ERV_3036128,-inf,-inf,AMS2
11,AMS2,ERV_4272011,-inf,-inf,AMS2
12,AMS2,ERV_4261991,-inf,-inf,AMS2
13,AMS2,ERV_3021245,-inf,-inf,AMS2
14,AMS2,ERV_2052439,-inf,-inf,AMS2
15,AMS2,ERV_3852827,-inf,-inf,AMS2
16,AMS2,ERV_2877731,-inf,-inf,AMS2
17,AMS2,ERV_4204704,-0.33595750099295346,-inf,AMS2
18,AMS2,ERV_2667139,1.7931556504841202,-1.8374359814867067,AMS2
19,AMS2,ERV_4147048,-inf,-inf,AMS2
20,AMS2,ERV_3659014,-inf,-inf,AMS2
21,AMS2,ERV_3394113,-inf,-inf,AMS2
22,AMS2,ERV_3798841,-2.245500005877392,-2.5305831620466526,AMS2
23,AMS2,ERV_4381752,-2.245500005877392,-inf,AMS2
24,AMS2,ERV_2477304,-inf,-inf,AMS2
25,AMS2,ERV_1982086,-inf,-inf,AMS2
26,AMS2,ERV_2170294,-0.8592056447575013,-inf,AMS2
27,AMS2,ERV_2801974,-3.631794366997284,-inf,AMS2
28,AMS2,ERV_1070865,0.5270887163623893,-inf,AMS2
29,AMS2,ERV_3351666,-1.5523528253174466,-2.5305831620466526,AMS2
30,AMS2,ERV_1925932,0.08177769970702518,-inf,AMS2
31,AMS2,ERV_1325723,-inf,-inf,AMS2
32,AMS2,ERV_3925927,-2.9386471864373385,-inf,AMS2
33,AMS2,ERV_1510159,-2.9386471864373385,-inf,AMS2
34,AMS2,ERV_2991251,-inf,-inf,AMS2
35,AMS2,ERV_3032897,-0.3736978289758005,-inf,AMS2
36,AMS2,ERV_3005034,-inf,-inf,AMS2
37,AMS2,ERV_3676768,-inf,-inf,AMS2
38,AMS2,ERV_3049704,-2.9386471864373385,-inf,AMS2
39,AMS2,ERV_2405526,-inf,-inf,AMS2
40,AMS2,ERV_1748442,-inf,-inf,AMS2
41,AMS2,ERV_2207271,-2.9386471864373385,-inf,AMS2
42,AMS2,ERV_3382351,-0.33595750099295346,-inf,AMS2
43,AMS2,ERV_3778042,-inf,-inf,AMS2
44,AMS2,ERV_4349636,-inf,-inf,AMS2
45,AMS2,ERV_2388751,-inf,-inf,AMS2
46,AMS2,ERV_2639932,-inf,-inf,AMS2
47,AMS2,ERV_1973505,2.2346736899360145,0.359788595849513,AMS2
48,AMS2,ERV_4431553,-inf,-inf,AMS2
49,AMS2,ERV_2786571,-2.533182078329173,-inf,AMS2
50,AMS2,ERV_3604736,-inf,-inf,AMS2
51,AMS2,ERV_3174888,-2.9386471864373385,-inf,AMS2
52,AMS2,ERV_3926052,-2.245500005877392,-inf,AMS2
53,AMS2,ERV_3130513,-inf,-inf,AMS2
54,AMS2,ERV_2662045,-2.9386471864373385,-inf,AMS2
55,AMS2,ERV_3751182,0.4790794971760288,-inf,AMS2
56,AMS2,ERV_2073219,-2.245500005877392,-inf,AMS2
57,AMS2,ERV_2532252,-inf,-inf,AMS2
58,AMS2,ERV_2965097,-inf,-inf,AMS2
59,AMS2,ERV_1880248,-0.6360620934432915,-inf,AMS2
60,AMS2,ERV_1966699,1.8936585721345014,1.2070864562367167,AMS2
61,AMS2,ERV_1196098,-inf,-inf,AMS2
62,AMS2,ERV_3220357,-2.533182078329173,-inf,AMS2
63,AMS2,ERV_1510512,-2.9386471864373385,-inf,AMS2
64,AMS2,ERV_4393222,-inf,-inf,AMS2
65,AMS2,ERV_4156998,-inf,-inf,AMS2
66,AMS2,ERV_2599230,-1.5523528253174466,-inf,AMS2
67,AMS2,ERV_1573389,-inf,-inf,AMS2
68,AMS2,ERV_2896966,-inf,-inf,AMS2
69,AMS2,ERV_2248744,-inf,-inf,AMS2
70,AMS2,ERV_3227410,-inf,-inf,AMS2
71,AMS2,ERV_3569386,-inf,-inf,AMS2
72,AMS2,ERV_2761607,-inf,-inf,AMS2
73,AMS2,ERV_1739269,-inf,-inf,AMS2
74,AMS2,ERV_3078453,1.1639961785994586,-2.5305831620466526,AMS2
75,AMS2,ERV_2009513,-inf,-inf,AMS2
76,AMS2,ERV_1966469,1.4433794482365445,-1.8374359814867067,AMS2
77,AMS2,ERV_2521207,-0.13528680553080233,-1.8374359814867067,AMS2
