,Method,Value
0,Actual Counts,15.0
1,Actual Counts,15.0
2,Actual Counts,15.0
3,Actual Counts,15.0
4,Actual Counts,15.0
5,Actual Counts,15.0
6,Actual Counts,15.0
7,Actual Counts,15.0
8,Actual Counts,15.0
9,Actual Counts,15.0
10,ERVmap,7.0
11,ERVmap,6.0
12,ERVmap,8.0
13,ERVmap,5.0
14,ERVmap,10.5
15,ERVmap,9.0
16,ERVmap,6.0
17,ERVmap,7.0
18,ERVmap,8.0
19,ERVmap,7.0
20,TELEscope,26.0
21,TELEscope,26.0
22,TELEscope,25.0
23,TELEscope,26.0
24,TELEscope,26.0
25,TELEscope,26.0
26,TELEscope,25.0
27,TELEscope,26.0
28,TELEscope,26.0
29,TELEscope,26.0
