,Method,Value
0,Actual Counts,20.0
1,Actual Counts,20.0
2,Actual Counts,20.0
3,Actual Counts,20.0
4,Actual Counts,20.0
5,Actual Counts,20.0
6,Actual Counts,20.0
7,Actual Counts,20.0
8,Actual Counts,20.0
9,Actual Counts,20.0
10,ERVmancer,18.0
11,ERVmancer,20.0
12,ERVmancer,16.0
13,ERVmancer,9.0
14,ERVmancer,21.0
15,ERVmancer,22.0
16,ERVmancer,22.0
17,ERVmancer,18.0
18,ERVmancer,22.0
19,ERVmancer,20.0
20,ERVmap,191.5
21,ERVmap,170.5
22,ERVmap,188.5
23,ERVmap,167.0
24,ERVmap,181.5
25,ERVmap,193.0
26,ERVmap,184.0
27,ERVmap,187.5
28,ERVmap,179.0
29,ERVmap,185.5
30,TELEscope,143.0
31,TELEscope,124.0
32,TELEscope,159.0
33,TELEscope,117.0
34,TELEscope,143.0
35,TELEscope,144.0
36,TELEscope,145.0
37,TELEscope,154.0
38,TELEscope,139.0
39,TELEscope,146.0
