,ERVmancer,ERVmap,TELEscope
simulated_run_experiment7,0.9559056328287099,0.8800616084198174,0.7508443217526651
simulated_run_experiment6,0.9550309335467388,0.8783898802535807,0.7500698046938146
simulated_run_experiment4,0.9547379606671493,0.8793750321221154,0.7376406811619821
simulated_run_experiment5,0.9552404268095525,0.8802453645615503,0.7368235034239011
simulated_run_experiment1,0.9544391804589921,0.8771274022604336,0.7397497905120327
simulated_run_experiment10,0.9550947520743853,0.8785650329531611,0.7350812810422839
simulated_run_experiment9,0.9569495694956951,0.8816427779857182,0.7420104077852585
simulated_run_experiment8,0.9553001277139208,0.880166775550352,0.7521576122914062
simulated_run_experiment2,0.9549663364506139,0.8804328673793023,0.736250147214698
simulated_run_experiment3,0.9541094834232845,0.8772947143580673,0.7402375408918099
