,Method,FNR
0,ERVmancer,0.01795200195163602
1,ERVmancer,0.021962763289869607
2,ERVmancer,0.02117761729653095
3,ERVmancer,0.022210397698159315
4,ERVmancer,0.018609194700531167
5,ERVmancer,0.01903117359413203
6,ERVmancer,0.022145359019264448
7,ERVmancer,0.02301584488320159
8,ERVmancer,0.020679519322209735
9,ERVmancer,0.02187629378156827
10,ERVmancer,0.023126002251868026
11,ERVmancer,0.02279488298693886
12,ERVmancer,0.02213093261078577
13,ERVmancer,0.021779367733405917
14,ERVmancer,0.022506346811876816
15,ERVmap,0.08646814869026927
16,ERVmap,0.08626817953861585
17,ERVmap,0.09516857915023703
18,ERVmap,0.09214260376019866
19,ERVmap,0.08646437511447586
20,ERVmap,0.08645171149144254
21,ERVmap,0.09580998248686515
22,ERVmap,0.08766970330722058
23,ERVmap,0.09582865047116798
24,ERVmap,0.09496356711103751
25,ERVmap,0.08694598928656727
26,ERVmap,0.0862606184736259
27,ERVmap,0.09564504850974564
28,ERVmap,0.09147839950227477
29,ERVmap,0.08900437838036719
30,TELEscope,0.2309974689720367
31,TELEscope,0.21459064694082247
32,TELEscope,0.13320632670240573
33,TELEscope,0.13261203736549604
34,TELEscope,0.23028878441907322
35,TELEscope,0.2297127139364303
36,TELEscope,0.1332443082311734
37,TELEscope,0.15366700932260466
38,TELEscope,0.1357007002680038
39,TELEscope,0.13415169330131654
40,TELEscope,0.17011156982496844
41,TELEscope,0.17566732699862336
42,TELEscope,0.1339262302246307
43,TELEscope,0.1324182447408329
44,TELEscope,0.142646896500975
