,ERVmancer,ERVmap,TELEscope
simulated_run_experiment7,0.001099569828605578,0.004883941167635393,0.008806431171620548
simulated_run_experiment6,0.0010804635607742532,0.0049209851771486604,0.008799294899319758
simulated_run_experiment4,0.001066813888805378,0.004868158576363112,0.009085946876039272
simulated_run_experiment5,0.0010586242803951346,0.004863647254430738,0.009122669404220556
simulated_run_experiment1,0.0011150455538014034,0.004996844360979695,0.009100282949214637
simulated_run_experiment10,0.0010668158326037503,0.004907001120796446,0.00914506311177942
simulated_run_experiment9,0.0010531618999550857,0.004813059428532013,0.00903310118700101
simulated_run_experiment8,0.001080462576456848,0.00485189292799849,0.00871774240938041
simulated_run_experiment2,0.001049520609596554,0.004837893580862616,0.00915308854612374
simulated_run_experiment3,0.0010458840635693435,0.004941768264600359,0.008994613354542496
