,Method,FPR
0,ERVmancer,0.0
1,ERVmancer,0.0
2,ERVmancer,0.0
3,ERVmancer,2.097596992884951e-06
4,ERVmancer,0.0
5,ERVmancer,3.6480010914819266e-07
6,ERVmancer,0.0
7,ERVmancer,0.0
8,ERVmancer,6.657560097247801e-06
9,ERVmancer,0.0
10,ERVmancer,0.0
11,ERVmancer,0.0
12,ERVmancer,6.9311565610556e-06
13,ERVmancer,0.0
14,ERVmancer,0.0
15,ERVmancer,0.0
16,ERVmancer,0.0
17,ERVmancer,0.0
18,ERVmancer,0.0
19,ERVmancer,0.0
20,ERVmancer,0.0
21,ERVmancer,0.0
22,ERVmancer,0.0
23,ERVmancer,0.0
24,ERVmancer,5.472000639129674e-07
25,ERVmancer,0.0
26,ERVmancer,0.0
27,ERVmancer,0.0
28,ERVmancer,0.0
29,ERVmancer,0.0
30,ERVmancer,1.4591988396450828e-06
31,ERVmancer,0.0
32,ERVmancer,0.0
33,ERVmancer,0.0
34,ERVmancer,0.0
35,ERVmancer,0.0
36,ERVmancer,0.0
37,ERVmancer,0.0
38,ERVmancer,5.289575532539417e-06
39,ERVmancer,0.0
40,ERVmancer,0.0
41,ERVmancer,0.0
42,ERVmancer,3.5567897109187243e-06
43,ERVmancer,4.560000948480197e-07
44,ERVmancer,0.0
45,ERVmancer,0.0
46,ERVmancer,0.0
47,ERVmancer,9.393517998345282e-06
48,ERVmancer,0.0
49,ERVmancer,0.0
50,ERVmancer,8.481533694762187e-06
51,ERVmancer,8.207998712985802e-07
52,ERVmancer,9.120005223938992e-08
53,ERVmancer,0.0
54,ERVmancer,0.0
55,ERVmancer,8.207998712985802e-07
56,ERVmancer,0.0
57,ERVmancer,5.4078711245034195e-05
58,ERVmancer,0.0
59,ERVmancer,3.5567897109187243e-06
60,ERVmancer,4.560000948480197e-07
61,ERVmancer,0.0
62,ERVmancer,0.0
63,ERVmancer,0.0
64,ERVmancer,0.0
65,ERVmancer,0.0
66,ERVmancer,0.0
67,ERVmancer,0.0
68,ERVmancer,2.7632854752960454e-05
69,ERVmancer,8.207998712985802e-07
70,ERVmancer,0.0
71,ERVmancer,0.00011298410817877277
72,ERVmancer,0.0
73,ERVmancer,0.0
74,ERVmancer,0.0
75,ERVmancer,0.0
76,ERVmancer,0.0
77,ERVmancer,0.0
78,ERVmancer,0.0
79,ERVmancer,3.4655902908022415e-06
80,ERVmancer,0.0
81,ERVmancer,6.2015656582100114e-06
82,ERVmancer,0.0
83,ERVmancer,0.0
84,ERVmancer,0.0
85,ERVmancer,0.00011471651479191036
86,ERVmancer,0.0
87,ERVmancer,0.0
88,ERVmancer,0.0
89,ERVmancer,0.0
90,ERVmancer,0.0
91,ERVmancer,0.0
92,ERVmancer,0.0
93,ERVmancer,0.0
94,ERVmancer,0.0
95,ERVmancer,0.0
96,ERVmancer,3.6480010914819266e-07
97,ERVmancer,0.0
98,ERVmancer,0.0
99,ERVmancer,0.0
100,ERVmancer,0.0
101,ERVmancer,0.0
102,ERVmancer,5.015978170463002e-06
103,ERVmancer,0.0
104,ERVmancer,0.0
105,ERVmancer,3.4655902908022415e-06
106,ERVmancer,3.6480010914819266e-07
107,ERVmancer,1.5503986257266581e-06
108,ERVmancer,0.0
109,ERVmancer,0.0
110,ERVmancer,0.0
111,ERVmancer,5.927968795172262e-06
112,ERVmancer,0.0
113,ERVmancer,0.0
114,ERVmancer,0.0
115,ERVmancer,0.0
116,ERVmancer,0.0
117,ERVmancer,0.0
118,ERVmancer,2.8271938842141897e-06
119,ERVmancer,0.0
120,ERVmancer,0.0
121,ERVmancer,0.0
122,ERVmancer,0.0
123,ERVmancer,1.0031996597146755e-06
124,ERVmancer,0.0
125,ERVmancer,0.0
126,ERVmancer,0.0
127,ERVmancer,0.0
128,ERVmancer,0.0
129,ERVmancer,5.5264182398795644e-05
130,ERVmancer,3.684346697389011e-05
131,ERVmancer,1.7327981479853394e-06
132,ERVmancer,4.560000948480197e-07
133,ERVmancer,0.0
134,ERVmancer,1.8239978841624543e-06
135,ERVmancer,0.0
136,ERVmancer,0.0
137,ERVmancer,0.0
138,ERVmancer,0.0
139,ERVmancer,9.120005223938992e-08
140,ERVmancer,0.0
141,ERVmancer,0.0
142,ERVmancer,0.0
143,ERVmancer,0.0
144,ERVmancer,0.0
145,ERVmancer,0.0
146,ERVmancer,0.0
