,Method,FPR
0,ERVmancer,0.0
1,ERVmancer,0.0
2,ERVmancer,0.0
3,ERVmancer,0.0
4,ERVmancer,0.0
5,ERVmancer,0.0
6,ERVmancer,0.0
7,ERVmancer,0.0
8,ERVmancer,0.0
9,ERVmancer,0.0
10,ERVmancer,0.0
11,ERVmancer,0.0
12,ERVmancer,0.0
13,ERVmancer,0.0
14,ERVmancer,0.0
15,ERVmap,0.0023211134429409626
16,ERVmap,0.0022652369590546216
17,ERVmap,0.0015310445264099604
18,ERVmap,0.0018828757437186234
19,ERVmap,0.002320841111325035
20,ERVmap,0.002314713610660703
21,ERVmap,0.0015711845392891745
22,ERVmap,0.002032040555439284
23,ERVmap,0.001641364983412444
24,ERVmap,0.0018421247392272889
25,ERVmap,0.0020663730359183224
26,ERVmap,0.0020844011835663675
27,ERVmap,0.0015768211569571259
28,ERVmap,0.0019212613275863889
29,ERVmap,0.00195151344691979
30,TELEscope,0.002164316613593907
31,TELEscope,0.0021636809731759433
32,TELEscope,0.001619639190497267
33,TELEscope,0.0019403394542728155
34,TELEscope,0.002164316613593907
35,TELEscope,0.002164316613593907
36,TELEscope,0.0016633625216171573
37,TELEscope,0.0019942993493292324
38,TELEscope,0.0017296219749937704
39,TELEscope,0.0019112677320442144
40,TELEscope,0.001997115277931876
41,TELEscope,0.0020002945330622464
42,TELEscope,0.0016642714899431713
43,TELEscope,0.0019714988260661997
44,TELEscope,0.0019830354760104313
