Tumor_Sample_Barcode,ERV_1069516_HERVH_int_LTR7Y,p53_status
HDQP1_BREAST,0.6958918027425096,del
EFM192A_BREAST,0.0,del
UACC893_BREAST,0.0,del
MDAMB361_BREAST,0.1221347642316618,del
MDAMB436_BREAST,0.0269030620796228,del
MDAMB157_BREAST,0.0121285980699034,del
HMC18_BREAST,0.2836098940671232,del
HCC202_BREAST,0.0,del
HCC1806_BREAST,0.361670876955205,del
HCC1937_BREAST,1.3213135103959863,del
HCC1569_BREAST,0.0,del
HCC70_BREAST,0.4661080183959875,mut
JIMT1_BREAST,0.3988012584242468,mut
MDAMB468_BREAST,0.2618048998096023,mut
AU565_BREAST,0.0,mut
HCC1143_BREAST,0.7218481838752377,mut
HCC1395_BREAST,0.4697524737987337,mut
HCC2157_BREAST,0.0,mut
BT549_BREAST,0.3260787840323064,mut
CAL51_BREAST,0.0246576349037698,wt
DU4475_BREAST,0.0116889140013517,wt
UACC812_BREAST,0.0724988144631364,wt
MCF7_BREAST,0.0,wt
MDAMB175VII_BREAST,0.0,wt
HCC1428_BREAST,0.0081423676702406,wt
HCC1500_BREAST,0.0,wt
ZR751_BREAST,0.0335566624295228,wt
ZR7530_BREAST,0.0122480045030523,wt
