Tumor_Sample_Barcode,normalized_counts,p53_status
HDQP1_BREAST,328.6783970828216,del
EFM192A_BREAST,15.124996108090437,del
UACC893_BREAST,5.326509506214146,del
MDAMB361_BREAST,62.22766237603176,del
MDAMB436_BREAST,10.882288611207422,del
MDAMB157_BREAST,32.480385631201344,del
HMC18_BREAST,115.47285917671415,del
HCC202_BREAST,7.222545481719255,del
HCC1806_BREAST,69.80247925235459,del
HCC1937_BREAST,578.9302654484177,del
HCC1569_BREAST,20.163071361346,del
HCC70_BREAST,113.02551021690027,mut
JIMT1_BREAST,129.00533121647797,mut
MDAMB468_BREAST,71.43533694804869,mut
AU565_BREAST,4.646478916549708,mut
HCC1143_BREAST,139.97737409689134,mut
HCC1395_BREAST,75.63014828159608,mut
HCC2157_BREAST,9.793961745844806,mut
BT549_BREAST,50.21613274097518,mut
CAL51_BREAST,10.257576119968265,wt
DU4475_BREAST,4.395031664508249,wt
UACC812_BREAST,16.843891226935376,wt
MCF7_BREAST,4.021453550997141,wt
MDAMB175VII_BREAST,3.6538777963680658,wt
HCC1428_BREAST,12.39268359410622,wt
HCC1500_BREAST,11.07507239804118,wt
ZR751_BREAST,9.362308817836867,wt
ZR7530_BREAST,5.242145927306401,wt
