Tumor_Sample_Barcode,normalized_counts,p53_status
HDQP1_BREAST,1474.1924175629176,del
EFM192A_BREAST,1350.3589843913371,del
UACC893_BREAST,1789.5071868140042,del
MDAMB361_BREAST,1786.4651964165175,del
MDAMB436_BREAST,802.5721479593088,del
MDAMB157_BREAST,1606.8088008988757,del
HMC18_BREAST,704.8251271210447,del
HCC202_BREAST,1948.4272095761187,del
HCC1806_BREAST,1830.1977987821315,del
HCC1937_BREAST,1947.1070837090238,del
HCC1569_BREAST,1412.6997407574777,del
HCC70_BREAST,1389.0473687730566,mut
JIMT1_BREAST,969.1420650410473,mut
MDAMB468_BREAST,1222.7223838607754,mut
AU565_BREAST,5112.839218412128,mut
HCC1143_BREAST,1633.799369124263,mut
HCC1395_BREAST,980.2912061350424,mut
HCC2157_BREAST,2151.8717649995738,mut
BT549_BREAST,645.1382931872857,mut
CAL51_BREAST,2909.292698208548,wt
DU4475_BREAST,1873.6277141906703,wt
UACC812_BREAST,2200.471933449375,wt
MCF7_BREAST,1880.311940537161,wt
MDAMB175VII_BREAST,4017.8662185509465,wt
HCC1428_BREAST,1733.2250941257694,wt
HCC1500_BREAST,2794.338137998981,wt
ZR751_BREAST,3103.4543681319888,wt
ZR7530_BREAST,2804.658303149452,wt
