Tumor_Sample_Barcode,normalized_counts,p53_status
HDQP1_BREAST,0.0,del
EFM192A_BREAST,0.0083517372214745,del
UACC893_BREAST,0.0,del
MDAMB361_BREAST,0.0,del
MDAMB436_BREAST,0.0,del
MDAMB157_BREAST,0.0,del
HMC18_BREAST,0.0,del
HCC202_BREAST,0.0,del
HCC1806_BREAST,0.0075348099365667,del
HCC1937_BREAST,0.0,del
HCC1569_BREAST,0.0,del
HCC70_BREAST,0.0113684882535606,mut
JIMT1_BREAST,0.0,mut
MDAMB468_BREAST,0.0,mut
AU565_BREAST,0.0,mut
HCC1143_BREAST,0.0122347149809362,mut
HCC1395_BREAST,0.0117438118449683,mut
HCC2157_BREAST,0.0,mut
BT549_BREAST,0.0,mut
CAL51_BREAST,0.0,wt
DU4475_BREAST,0.0,wt
UACC812_BREAST,0.0,wt
MCF7_BREAST,0.0,wt
MDAMB175VII_BREAST,0.0,wt
HCC1428_BREAST,0.0,wt
HCC1500_BREAST,0.0,wt
ZR751_BREAST,0.0,wt
ZR7530_BREAST,0.0,wt
