Tumor_Sample_Barcode,normalized_counts,p53_status
HDQP1_BREAST,233.63479946137977,del
EFM192A_BREAST,196.24076949298808,del
UACC893_BREAST,261.0937060921532,del
MDAMB361_BREAST,262.0706703500883,del
MDAMB436_BREAST,151.0203389839628,del
MDAMB157_BREAST,270.3100651839374,del
HMC18_BREAST,129.3915601317006,del
HCC202_BREAST,296.59513100830287,del
HCC1806_BREAST,317.200428709588,del
HCC1937_BREAST,316.8444815297917,del
HCC1569_BREAST,202.9260768078173,del
HCC70_BREAST,186.3295224758594,mut
JIMT1_BREAST,144.06351666387621,mut
MDAMB468_BREAST,185.6009736150217,mut
AU565_BREAST,1165.723248719908,mut
HCC1143_BREAST,244.97569806328622,mut
HCC1395_BREAST,168.69985715297025,mut
HCC2157_BREAST,371.4030283686426,mut
BT549_BREAST,106.18154930567788,mut
CAL51_BREAST,348.1288183888749,wt
DU4475_BREAST,233.1003230149562,wt
UACC812_BREAST,276.94547124918137,wt
MCF7_BREAST,217.2714539322445,wt
MDAMB175VII_BREAST,331.7643297021433,wt
HCC1428_BREAST,277.37789705441713,wt
HCC1500_BREAST,351.26741418576324,wt
ZR751_BREAST,395.7672766937922,wt
ZR7530_BREAST,242.0695609983265,wt
