chr,start,end,hervd_name,intact_ENV,intact_POL,intact_GAG,SNP,SNP_phenotype,dist_from_SNP,virus_length_bp,nearest_gene,dist_nearest_gene
chr1,142594259,142598063,"ERV_2423966_HERVK9_int,MER9a2",FALSE,TRUE,TRUE,None,None,-1,3804,ANKRD20A12P,99357
chr13,21254459,21259079,ERV_1074624_HERVK9_int,TRUE,TRUE,TRUE,None,None,-1,4620,IFT88,11124
chr13,27786128,27794954,"ERV_1000135_HERV9NC_int,LTR12D",FALSE,TRUE,TRUE,rs9512645,NAN,-1,8826,LINC00412,15464
chr13,35373391,35377551,"ERV_1006908_HERVH_int,LTR7Y",TRUE,TRUE,TRUE,None,None,-1,4160,NBEA,138872
chr13,35718270,35722426,"ERV_1083973_MER66_int,MER41E",FALSE,TRUE,TRUE,None,None,-1,4156,NBEA,206003
chr13,36890462,36896332,"ERV_1008069_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5870,CCDC169-SOHLH2,18511
chr13,37530787,37533126,"ERV_1008624_LTR17,HERV17_int",TRUE,TRUE,TRUE,None,None,-1,2339,ALG5,9220
chr13,38132997,38135346,"ERV_1009097_LTR3B_,HERVK3_int",TRUE,TRUE,TRUE,None,None,-1,2349,POSTN,1372
chr13,38543144,38548709,"ERV_1085575_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5565,LINC00571,76244
chr13,38821071,38825068,"ERV_1009629_LTR24,ERV24_Prim_int",TRUE,TRUE,TRUE,None,None,-1,3997,UFM1,98919
chr13,38825074,38828158,"ERV_1009630_LTR24B,ERV24B_Prim_int",FALSE,TRUE,TRUE,None,None,-1,3084,UFM1,95829
chr13,39708464,39720014,ERV_1086215_ERV24_Prim_int,FALSE,TRUE,TRUE,None,None,-1,11550,NHLRC3,84218
chr13,41448711,41454961,ERV_1087255_HERVE_int,FALSE,TRUE,TRUE,None,None,-1,6250,SUGT1P3,31061
chr13,41995538,41998778,ERV_1087706_HERVE_int,TRUE,TRUE,TRUE,None,None,-1,3240,OR7E37P,17921
chr13,43442140,43447320,"ERV_1088513_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,5180,LINC00428,4740
chr13,43633808,43635739,"ERV_1088658_HERVH_int,LTR7B",TRUE,TRUE,TRUE,None,None,-1,1931,DNAJC15,38018
chr13,46327321,46333805,"ERV_1090513_MLT2A1,HERVL_int",FALSE,TRUE,TRUE,None,None,-1,6484,SIAH3,17571
chr13,47681949,47686047,"ERV_1091404_HERV1_LTRc,HERV1_I_int",TRUE,TRUE,TRUE,None,None,-1,4098,HTR2A,210738
chr13,48629503,48636438,"ERV_1018595_LTR7,HERVH_int",TRUE,TRUE,TRUE,None,None,-1,6935,NUDT15,2625
chr13,49190675,49200070,"ERV_1019087_ERVL47_int,LTR47A2",FALSE,TRUE,FALSE,None,None,-1,9395,CYSLTR2,27994
chr13,49440847,49446623,"ERV_1092512_HERVH_int,LTR7B",TRUE,TRUE,TRUE,None,None,-1,5776,FNDC3A,103424
